"LoanOriginationDate","BorrowerRate","StatedMonthlyIncome","LoanOriginalAmount","MonthlyLoanPayment","LP_CustomerPayments","LP_InterestandFees"
"2006-12-08 00:00:00",0.185814634146341,4283.72764217073,3908.53658536585,133.931707317073,3996.50707317073,850.443170731707
"2006-12-11 00:00:00",0.176135294117647,3979.06617644118,3391.91176470588,115.812647058824,2884.27323529412,486.607352941176
"2006-12-12 00:00:00",0.195728333333333,7766.5972222,4981.7,172.918,4394.8105,939.208166666667
"2006-12-13 00:00:00",0.191420689655172,4200.79166667241,4220.5,148.050689655172,4127.82655172414,806.546034482759
"2006-12-14 00:00:00",0.171731818181818,3959.27272727273,3553.40909090909,123.531363636364,2636.35363636364,452.156363636364
"2006-12-15 00:00:00",0.1653525,5485.843749975,4116.3,139.2005,3885.37875,682.42125
"2006-12-18 00:00:00",0.213205172413793,3891.13218391379,4793.79310344828,179.556379310345,3894.8625862069,930.267931034483
"2006-12-19 00:00:00",0.198495774647887,4252.89788729578,4284.14084507042,151.882253521127,4146.37957746479,924.855211267606
"2006-12-20 00:00:00",0.183769565217391,4808.99637686957,6623.08695652174,230.843043478261,7022.92369565217,1247.03086956522
"2006-12-21 00:00:00",0.19588023255814,4361.21414731395,5117.46511627907,175.934069767442,4666.16430232558,988.050581395349
"2006-12-22 00:00:00",0.190602173913043,3607.942029,5131.5652173913,183.195217391304,4961.82304347826,1121.51173913043
"2006-12-26 00:00:00",0.199365853658537,4829.504065,4203.65853658537,150.003414634146,3677.75731707317,759.663414634146
"2006-12-27 00:00:00",0.167080303030303,5732.8800505,5081.45454545455,178.910909090909,4596.90106060606,891.353181818182
"2006-12-28 00:00:00",0.188197058823529,4742.94117647059,5591.91176470588,188.727058823529,5793.06647058824,1036.34588235294
"2006-12-29 00:00:00",0.1899525,3968.7729166,5240.325,187.965,5259.142,1019.812
"2007-01-02 00:00:00",0.1729,4354.7125,4775.05,167.1545,3867.1325,581.605
"2007-01-03 00:00:00",0.19166875,3994.28993054167,3858.64583333333,139.762708333333,3846.881875,757.642916666667
"2007-01-04 00:00:00",0.193321212121212,3168.53030306061,3163.24242424242,107.422121212121,3099.78575757576,737.374848484848
